,E
0,2.8199664825478976e-14
1,1.2032042029375134e-14
2,2.7755575615628914e-14
3,2.6922908347160046e-15
4,1.4405143744511406e-14
5,7.66053886991358e-15
6,2.0185242366466127e-14
7,1.1629586182948515e-14
8,4.6851411639181606e-14
9,1.27675647831893e-15
10,4.908226602928778e-14
11,1.4988010832439613e-15
12,5.1752005458816086e-14
13,2.4168167467308876e-14
14,2.3462135012586316e-14
15,2.19824158875781e-14
16,2.7283730830163222e-14
17,3.0253577421035516e-15
18,4.961482613641266e-14
19,2.6492696925117798e-14
20,1.5338519033217901
